      Time   Azimuth   1P_Sine   2P_Sine   3P_Sine   4P_Sine
     (sec)     (deg)       (-)       (-)       (-)       (-)
    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    0.0010    0.3600    0.0063    0.0126    0.0188    0.0251
    0.0020    0.7200    0.0126    0.0251    0.0377    0.0502
    0.0030    1.0800    0.0188    0.0377    0.0565    0.0753
    0.0040    1.4400    0.0251    0.0502    0.0753    0.1004
    0.0050    1.8000    0.0314    0.0628    0.0941    0.1253
    0.0060    2.1600    0.0377    0.0753    0.1129    0.1502
    0.0070    2.5200    0.0440    0.0879    0.1316    0.1750
    0.0080    2.8800    0.0502    0.1004    0.1502    0.1997
    0.0090    3.2400    0.0565    0.1129    0.1688    0.2243
    0.0100    3.6000    0.0628    0.1253    0.1874    0.2487
    0.0110    3.9600    0.0691    0.1378    0.2059    0.2730
    0.0120    4.3200    0.0753    0.1502    0.2243    0.2970
    0.0130    4.6800    0.0816    0.1626    0.2426    0.3209
    0.0140    5.0400    0.0879    0.1750    0.2608    0.3446
    0.0150    5.4000    0.0941    0.1874    0.2790    0.3681
    0.0160    5.7600    0.1004    0.1997    0.2970    0.3914
    0.0170    6.1200    0.1066    0.2120    0.3150    0.4144
    0.0180    6.4800    0.1129    0.2243    0.3328    0.4371
    0.0190    6.8400    0.1191    0.2365    0.3505    0.4596
    0.0200    7.2000    0.1253    0.2487    0.3681    0.4818
    0.0210    7.5600    0.1316    0.2608    0.3856    0.5036
    0.0220    7.9200    0.1378    0.2730    0.4029    0.5252
    0.0230    8.2800    0.1440    0.2850    0.4201    0.5464
    0.0240    8.6400    0.1502    0.2970    0.4371    0.5673
    0.0250    9.0000    0.1564    0.3090    0.4540    0.5878
    0.0260    9.3600    0.1626    0.3209    0.4707    0.6079
    0.0270    9.7200    0.1688    0.3328    0.4873    0.6277
    0.0280   10.0800    0.1750    0.3446    0.5036    0.6471
    0.0290   10.4400    0.1812    0.3564    0.5198    0.6660
    0.0300   10.8000    0.1874    0.3681    0.5358    0.6845
    0.0310   11.1600    0.1935    0.3798    0.5516    0.7026
    0.0320   11.5200    0.1997    0.3914    0.5673    0.7203
    0.0330   11.8800    0.2059    0.4029    0.5827    0.7375
    0.0340   12.2400    0.2120    0.4144    0.5979    0.7543
    0.0350   12.6000    0.2181    0.4258    0.6129    0.7705
    0.0360   12.9600    0.2243    0.4371    0.6277    0.7863
    0.0370   13.3200    0.2304    0.4484    0.6423    0.8016
    0.0380   13.6800    0.2365    0.4596    0.6566    0.8163
    0.0390   14.0400    0.2426    0.4707    0.6707    0.8306
    0.0400   14.4000    0.2487    0.4818    0.6845    0.8443
    0.0410   14.7600    0.2548    0.4927    0.6982    0.8575
    0.0420   15.1200    0.2608    0.5036    0.7115    0.8702
    0.0430   15.4800    0.2669    0.5144    0.7247    0.8823
    0.0440   15.8400    0.2730    0.5252    0.7375    0.8938
    0.0450   16.2000    0.2790    0.5358    0.7501    0.9048
    0.0460   16.5600    0.2850    0.5464    0.7624    0.9152
    0.0470   16.9200    0.2910    0.5569    0.7745    0.9251
    0.0480   17.2800    0.2970    0.5673    0.7863    0.9343
    0.0490   17.6400    0.3030    0.5776    0.7978    0.9430
    0.0500   18.0000    0.3090    0.5878    0.8090    0.9511
    0.0510   18.3600    0.3150    0.5979    0.8200    0.9585
    0.0520   18.7200    0.3209    0.6079    0.8306    0.9654
    0.0530   19.0800    0.3269    0.6179    0.8409    0.9716
    0.0540   19.4400    0.3328    0.6277    0.8510    0.9773
    0.0550   19.8000    0.3387    0.6374    0.8607    0.9823
    0.0560   20.1600    0.3446    0.6471    0.8702    0.9867
